date-time,mu,std,beta1,beta2
2019-09-23 22:00:00,,inf,0.0,0.0
2019-09-23 22:20:00,,inf,0.0,0.0
2019-09-23 22:40:00,,inf,0.0,0.0
2019-09-23 23:00:00,,inf,0.0,0.0
2019-09-23 23:20:00,,inf,0.0,0.0
2019-09-23 23:40:00,,inf,0.0,0.0
2019-09-24 00:00:00,,inf,0.0,0.0
2019-09-24 00:20:00,,inf,0.0,0.0
2019-09-24 00:40:00,,inf,0.0,0.0
2019-09-24 01:00:00,,inf,0.0,0.0
2019-09-24 01:20:00,,inf,0.0,0.0
2019-09-24 01:40:00,,inf,0.0,0.0
2019-09-24 02:00:00,,inf,0.0,0.0
2019-09-24 02:20:00,,inf,0.0,0.0
2019-09-24 02:40:00,,inf,0.0,0.0
2019-09-24 03:00:00,,inf,0.0,0.0
2019-09-24 03:20:00,,inf,0.0,0.0
2019-09-24 03:40:00,,inf,0.0,0.0
2019-09-24 04:00:00,,inf,0.0,0.0
2019-09-24 04:20:00,,inf,0.0,0.0
2019-09-24 04:40:00,,inf,0.0,0.0
2019-09-24 05:00:00,,inf,0.0,0.0
2019-09-24 05:20:00,,inf,0.0,0.0
2019-09-24 05:40:00,,inf,0.0,0.0
2019-09-24 06:00:00,,inf,0.0,0.0
2019-09-24 06:20:00,,inf,0.0,0.0
2019-09-24 06:40:00,,inf,0.0,0.0
2019-09-24 07:00:00,,inf,0.0,0.0
2019-09-24 07:20:00,,inf,0.0,0.0
2019-09-24 07:40:00,,inf,0.0,0.0
2019-09-24 08:00:00,,inf,0.0,0.0
2019-09-24 08:20:00,,inf,0.0,0.0
2019-09-24 08:40:00,,inf,0.0,0.0
2019-09-24 09:00:00,,inf,0.0,0.0
2019-09-24 09:20:00,,inf,0.0,0.0
2019-09-24 09:40:00,,inf,0.0,0.0
2019-09-24 10:00:00,,inf,0.0,0.0
2019-09-24 10:20:00,,inf,0.0,0.0
2019-09-24 10:40:00,,inf,0.0,0.0
2019-09-24 11:00:00,,inf,0.0,0.0
2019-09-24 11:20:00,,inf,0.0,0.0
2019-09-24 11:40:00,,inf,0.0,0.0
2019-09-24 12:00:00,,inf,0.0,0.0
2019-09-24 12:20:00,,inf,0.0,0.0
2019-09-24 12:40:00,,inf,0.0,0.0
2019-09-24 13:00:00,0.2507805173417893,0.13817327134141133,0.5045124283439193,0.0
2019-09-24 13:20:00,0.2515737798994946,0.13702312763785685,0.5081827016420446,0.0
2019-09-24 13:40:00,0.2512490667826399,0.13511607246342816,0.5143626104936931,0.0
2019-09-24 14:00:00,0.25224548858054807,0.13393826427534672,0.5182393738065412,0.0
2019-09-24 14:20:00,0.25190261520088253,0.1336374757052987,0.5192368978565045,0.0
2019-09-24 14:40:00,0.2520084157395469,0.13357611175028555,0.5194407796045872,0.0
2019-09-24 15:00:00,0.2523652110928383,0.1330015221955747,0.5213560764911545,0.0
2019-09-24 15:20:00,0.2523226976217108,0.1335779927553491,0.5194345280653356,0.0
2019-09-24 15:40:00,0.25100600644384624,0.13329408068302107,0.5203794746586807,0.0
2019-09-24 16:00:00,0.2518062939757436,0.13388414879248728,0.5184186145337051,0.0
2019-09-24 16:20:00,0.2516462139463328,0.13491538372490783,0.5150199041646935,0.0
2019-09-24 16:40:00,0.25148371207297215,0.13518230884751173,0.5141459671095927,0.0
2019-09-24 17:00:00,0.2512377286308059,0.13594933824467909,0.5116477445804792,0.0
2019-09-24 17:20:00,0.2511745894754644,0.13554613724305997,0.5129585588890384,0.0
2019-09-24 17:40:00,0.2507344611348927,0.13658125508814367,0.5096040633766432,0.0
2019-09-24 18:00:00,0.25113145925199865,0.13659071345128143,0.5095735727346411,0.0
2019-09-24 18:20:00,0.2508015941172332,0.13744109262220833,0.5068440286587215,0.0
2019-09-24 18:40:00,0.25091659382113396,0.13777168312333402,0.5057891615680266,0.0
2019-09-24 19:00:00,0.25064546428403833,0.13821720578024133,0.5043730616895579,0.0
2019-09-24 19:20:00,0.25076002551405707,0.13838878185246226,0.5038293806128453,0.0
2019-09-24 19:40:00,,inf,0.0,0.0
2019-09-24 20:00:00,,inf,0.0,0.0
2019-09-24 20:20:00,,inf,0.0,0.0
2019-09-24 20:40:00,,inf,0.0,0.0
2019-09-24 21:00:00,,inf,0.0,0.0
2019-09-24 21:20:00,,inf,0.0,0.0
2019-09-24 21:40:00,,inf,0.0,0.0
2019-09-24 22:00:00,,inf,0.0,0.0
2019-09-24 22:20:00,,inf,0.0,0.0
2019-09-24 22:40:00,,inf,0.0,0.0
2019-09-24 23:00:00,,inf,0.0,0.0
2019-09-24 23:20:00,,inf,0.0,0.0
2019-09-24 23:40:00,,inf,0.0,0.0
2019-09-25 00:00:00,,inf,0.0,0.0
2019-09-25 00:20:00,,inf,0.0,0.0
2019-09-25 00:40:00,,inf,0.0,0.0
2019-09-25 01:00:00,,inf,0.0,0.0
2019-09-25 01:20:00,,inf,0.0,0.0
2019-09-25 01:40:00,,inf,0.0,0.0
2019-09-25 02:00:00,,inf,0.0,0.0
2019-09-25 02:20:00,,inf,0.0,0.0
2019-09-25 02:40:00,,inf,0.0,0.0
2019-09-25 03:00:00,,inf,0.0,0.0
2019-09-25 03:20:00,,inf,0.0,0.0
2019-09-25 03:40:00,,inf,0.0,0.0
2019-09-25 04:00:00,,inf,0.0,0.0
2019-09-25 04:20:00,,inf,0.0,0.0
2019-09-25 04:40:00,,inf,0.0,0.0
2019-09-25 05:00:00,,inf,0.0,0.0
2019-09-25 05:20:00,,inf,0.0,0.0
2019-09-25 05:40:00,,inf,0.0,0.0
2019-09-25 06:00:00,,inf,0.0,0.0
2019-09-25 06:20:00,,inf,0.0,0.0
2019-09-25 06:40:00,,inf,0.0,0.0
2019-09-25 07:00:00,,inf,0.0,0.0
2019-09-25 07:20:00,,inf,0.0,0.0
2019-09-25 07:40:00,,inf,0.0,0.0
2019-09-25 08:00:00,,inf,0.0,0.0
2019-09-25 08:20:00,,inf,0.0,0.0
2019-09-25 08:40:00,,inf,0.0,0.0
2019-09-25 09:00:00,,inf,0.0,0.0
2019-09-25 09:20:00,,inf,0.0,0.0
2019-09-25 09:40:00,,inf,0.0,0.0
2019-09-25 10:00:00,,inf,0.0,0.0
2019-09-25 10:20:00,,inf,0.0,0.0
2019-09-25 10:40:00,,inf,0.0,0.0
2019-09-25 11:00:00,,inf,0.0,0.0
2019-09-25 11:20:00,,inf,0.0,0.0
2019-09-25 11:40:00,,inf,0.0,0.0
2019-09-25 12:00:00,,inf,0.0,0.0
2019-09-25 12:20:00,,inf,0.0,0.0
2019-09-25 12:40:00,,inf,0.0,0.0
2019-09-25 13:00:00,,inf,0.0,0.0
2019-09-25 13:20:00,,inf,0.0,0.0
2019-09-25 13:40:00,,inf,0.0,0.0
2019-09-25 14:00:00,,inf,0.0,0.0
2019-09-25 14:20:00,,inf,0.0,0.0
2019-09-25 14:40:00,,inf,0.0,0.0
2019-09-25 15:00:00,,inf,0.0,0.0
2019-09-25 15:20:00,,inf,0.0,0.0
2019-09-25 15:40:00,,inf,0.0,0.0
2019-09-25 16:00:00,,inf,0.0,0.0
2019-09-25 16:20:00,,inf,0.0,0.0
2019-09-25 16:40:00,,inf,0.0,0.0
2019-09-25 17:00:00,,inf,0.0,0.0
2019-09-25 17:20:00,,inf,0.0,0.0
2019-09-25 17:40:00,,inf,0.0,0.0
2019-09-25 18:00:00,,inf,0.0,0.0
2019-09-25 18:20:00,,inf,0.0,0.0
2019-09-25 18:40:00,,inf,0.0,0.0
2019-09-25 19:00:00,,inf,0.0,0.0
2019-09-25 19:20:00,,inf,0.0,0.0
2019-09-25 19:40:00,,inf,0.0,0.0
2019-09-25 20:00:00,,inf,0.0,0.0
2019-09-25 20:20:00,,inf,0.0,0.0
2019-09-25 20:40:00,,inf,0.0,0.0
2019-09-25 21:00:00,,inf,0.0,0.0
2019-09-25 21:20:00,,inf,0.0,0.0
2019-09-25 21:40:00,,inf,0.0,0.0
2019-09-25 22:00:00,,inf,0.0,0.0
2019-09-25 22:20:00,,inf,0.0,0.0
2019-09-25 22:40:00,,inf,0.0,0.0
2019-09-25 23:00:00,,inf,0.0,0.0
2019-09-25 23:20:00,,inf,0.0,0.0
2019-09-25 23:40:00,,inf,0.0,0.0
2019-09-26 00:00:00,,inf,0.0,0.0
2019-09-26 00:20:00,,inf,0.0,0.0
2019-09-26 00:40:00,,inf,0.0,0.0
2019-09-26 01:00:00,,inf,0.0,0.0
2019-09-26 01:20:00,,inf,0.0,0.0
2019-09-26 01:40:00,,inf,0.0,0.0
2019-09-26 02:00:00,,inf,0.0,0.0
2019-09-26 02:20:00,,inf,0.0,0.0
2019-09-26 02:40:00,,inf,0.0,0.0
2019-09-26 03:00:00,,inf,0.0,0.0
2019-09-26 03:20:00,,inf,0.0,0.0
2019-09-26 03:40:00,,inf,0.0,0.0
2019-09-26 04:00:00,,inf,0.0,0.0
2019-09-26 04:20:00,,inf,0.0,0.0
2019-09-26 04:40:00,,inf,0.0,0.0
